español,latin
"Hola, ¿cómo estás?","Salve, quid agis?"
"Buenos días","Bonum mane"
"Buenas noches","Bonum nocte"
"Gracias por tu ayuda","Gratias tibi ago pro auxilio tuo"
"¿Dónde está la biblioteca?","Ubi est bibliotheca?"
"Tengo hambre","Esurio"
"Tengo sed","Sitiens sum"
"Me gusta leer libros","Libros legere mihi placet"
"¿Cuánto cuesta esto?","Quanti constat hoc?"
"Por favor, repítelo","Quaeso, iterum dic"
"Disculpa, no entiendo","Ignosce, non intellego"
"Mi nombre es Juan","Nomen meum est Ioannes"
"Feliz cumpleaños","Felix natalis"
"Hasta luego","Vale"
"Estoy perdido","Erravi"
"¿Puedes ayudarme?","Potesne me adiuvare?"
"¿Cuál es tu nombre?","Quod est nomen tuum?"
"Estoy aprendiendo latín","Disco latinam linguam"
"Es un placer conocerte","Placuit mihi te convenire"
"Lo siento mucho","Multum doleo"
"Estoy cansado","Fessus sum"
"Vengo de España","Ex Hispania venio"
"Me gusta mucho la música","Musica mihi multum placet"
"Quiero ir al mercado","Volo ire ad forum"
"Estoy buscando un restaurante","Quaero tabernam cauponiam"
"¿Hablas español?","Loquerisne Hispanice?"
"Hoy es un buen día","Hodie est dies bonus"
"Estoy de acuerdo contigo","Assentior tibi"
"La comida está deliciosa","Cibus est deliciosus"
"Quiero aprender más","Volo plus discere"
